timestamp	x	y	stimuli_x	stimuli_y
2008305.0	141.40	153.60	-1.0	-1.0
2008306.0	141.10	153.20	-1.0	-1.0
2008307.0	140.70	152.80	-1.0	-1.0
2008308.0	140.60	152.70	-1.0	-1.0
2008309.0	140.50	152.60	-1.0	-1.0
2008310.0	140.40	152.40	-1.0	-1.0
2008311.0	140.30	152.60	-1.0	-1.0
2008312.0	140.30	152.80	-1.0	-1.0
2008313.0	140.40	153.10	-1.0	-1.0
2008314.0	140.70	153.10	-1.0	-1.0
2008315.0	141.00	153.10	-1.0	-1.0
2008316.0	141.10	153.20	-1.0	-1.0
2008317.0	140.80	153.20	-1.0	-1.0
2008318.0	140.50	153.20	-1.0	-1.0
2008319.0	140.30	153.10	-1.0	-1.0
2008320.0	140.20	152.90	-1.0	-1.0
2008321.0	140.00	152.80	-1.0	-1.0
2008322.0	139.80	152.80	-1.0	-1.0
2008323.0	139.80	152.80	-1.0	-1.0
2008324.0	139.80	152.90	-1.0	-1.0
2008325.0	140.30	153.00	-1.0	-1.0
2008326.0	140.80	153.20	-1.0	-1.0
2008327.0	141.40	153.10	-1.0	-1.0
2008328.0	141.50	153.00	-1.0	-1.0
2008329.0	141.50	152.90	-1.0	-1.0
2008330.0	141.50	152.80	-1.0	-1.0
2008331.0	141.30	152.70	-1.0	-1.0
2008332.0	141.20	152.40	-1.0	-1.0
2008333.0	140.90	152.20	-1.0	-1.0
2008334.0	140.80	152.10	-1.0	-1.0
2008335.0	140.90	152.10	-1.0	-1.0
2008336.0	141.20	152.10	-1.0	-1.0
2008337.0	141.50	152.30	-1.0	-1.0
2008338.0	141.50	152.50	-1.0	-1.0
2008339.0	141.50	152.70	-1.0	-1.0
2008340.0	141.60	152.80	-1.0	-1.0
2008341.0	141.30	152.80	-1.0	-1.0
2008342.0	141.10	152.60	-1.0	-1.0
2008343.0	140.90	152.30	-1.0	-1.0
2008344.0	141.00	152.50	-1.0	-1.0
2008345.0	141.00	152.90	-1.0	-1.0
2008346.0	140.90	153.20	-1.0	-1.0
2008347.0	140.80	153.00	-1.0	-1.0
2008348.0	140.70	152.70	-1.0	-1.0
2008349.0	140.80	152.70	-1.0	-1.0
2008350.0	141.00	152.70	-1.0	-1.0
2008351.0	141.10	152.60	-1.0	-1.0
2008352.0	141.30	152.20	-1.0	-1.0
2008353.0	140.90	151.90	-1.0	-1.0
2008354.0	140.50	151.70	-1.0	-1.0
2008355.0	140.40	151.80	-1.0	-1.0
2008356.0	140.70	152.20	-1.0	-1.0
2008357.0	141.00	152.40	-1.0	-1.0
2008358.0	141.00	152.50	-1.0	-1.0
2008359.0	141.30	152.50	-1.0	-1.0
2008360.0	141.70	152.30	-1.0	-1.0
2008361.0	141.90	152.00	-1.0	-1.0
2008362.0	141.70	151.80	-1.0	-1.0
2008363.0	141.30	151.90	-1.0	-1.0
2008364.0	141.00	152.10	-1.0	-1.0
2008365.0	140.70	152.20	-1.0	-1.0
2008366.0	140.60	152.20	-1.0	-1.0
2008367.0	140.70	152.10	-1.0	-1.0
2008368.0	140.70	152.00	-1.0	-1.0
2008369.0	140.70	152.00	-1.0	-1.0
2008370.0	141.20	152.40	-1.0	-1.0
2008371.0	141.70	152.70	-1.0	-1.0
2008372.0	142.00	152.80	-1.0	-1.0
2008373.0	141.70	152.70	-1.0	-1.0
2008374.0	141.50	152.50	-1.0	-1.0
2008375.0	141.60	152.20	-1.0	-1.0
2008376.0	141.80	152.10	-1.0	-1.0
2008377.0	142.00	152.20	-1.0	-1.0
2008378.0	142.20	152.40	-1.0	-1.0
2008379.0	142.30	152.70	-1.0	-1.0
2008380.0	142.10	152.90	-1.0	-1.0
2008381.0	141.80	152.90	-1.0	-1.0
2008382.0	141.30	152.60	-1.0	-1.0
2008383.0	141.00	152.70	-1.0	-1.0
2008384.0	140.80	152.90	-1.0	-1.0
2008385.0	140.80	152.90	-1.0	-1.0
2008386.0	141.00	152.70	-1.0	-1.0
2008387.0	141.20	152.40	-1.0	-1.0
2008388.0	141.10	152.40	-1.0	-1.0
2008389.0	140.80	152.30	-1.0	-1.0
2008390.0	140.90	152.30	-1.0	-1.0
2008391.0	141.50	152.40	-1.0	-1.0
2008392.0	142.10	152.60	-1.0	-1.0
2008393.0	142.40	152.50	-1.0	-1.0
2008394.0	142.00	152.30	-1.0	-1.0
2008395.0	141.60	152.20	-1.0	-1.0
2008396.0	141.00	152.00	-1.0	-1.0
2008397.0	141.00	152.10	-1.0	-1.0
2008398.0	141.20	152.10	-1.0	-1.0
2008399.0	141.80	152.20	-1.0	-1.0
2008400.0	142.30	152.50	-1.0	-1.0
2008401.0	142.50	152.70	-1.0	-1.0
2008402.0	142.50	152.70	-1.0	-1.0
