timestamp	x	y	stimuli_x	stimuli_y
1925919.0	156.80	148.00	-1.0	-1.0
1925920.0	156.40	147.50	-1.0	-1.0
1925921.0	156.00	147.00	-1.0	-1.0
1925922.0	155.80	146.60	-1.0	-1.0
1925923.0	155.90	146.60	-1.0	-1.0
1925924.0	156.00	146.40	-1.0	-1.0
1925925.0	156.10	146.20	-1.0	-1.0
1925926.0	156.10	146.20	-1.0	-1.0
1925927.0	156.00	146.40	-1.0	-1.0
1925928.0	155.90	146.50	-1.0	-1.0
1925929.0	155.90	146.40	-1.0	-1.0
1925930.0	155.80	146.50	-1.0	-1.0
1925931.0	155.90	146.80	-1.0	-1.0
1925932.0	156.30	147.20	-1.0	-1.0
1925933.0	156.80	147.30	-1.0	-1.0
1925934.0	157.20	147.60	-1.0	-1.0
1925935.0	156.70	147.70	-1.0	-1.0
1925936.0	156.20	147.70	-1.0	-1.0
1925937.0	156.20	147.30	-1.0	-1.0
1925938.0	156.60	147.00	-1.0	-1.0
1925939.0	157.10	146.90	-1.0	-1.0
1925940.0	157.10	146.90	-1.0	-1.0
1925941.0	157.10	146.90	-1.0	-1.0
1925942.0	157.10	146.90	-1.0	-1.0
1925943.0	157.10	146.90	-1.0	-1.0
1925944.0	157.10	147.00	-1.0	-1.0
1925945.0	157.10	147.10	-1.0	-1.0
1925946.0	157.00	147.30	-1.0	-1.0
1925947.0	156.90	147.50	-1.0	-1.0
1925948.0	156.80	147.60	-1.0	-1.0
1925949.0	156.80	147.60	-1.0	-1.0
1925950.0	156.70	147.70	-1.0	-1.0
1925951.0	156.70	147.80	-1.0	-1.0
1925952.0	156.60	147.90	-1.0	-1.0
1925953.0	156.50	147.90	-1.0	-1.0
1925954.0	156.40	147.80	-1.0	-1.0
1925955.0	156.10	147.90	-1.0	-1.0
1925956.0	156.00	148.20	-1.0	-1.0
1925957.0	156.00	148.60	-1.0	-1.0
1925958.0	156.20	148.50	-1.0	-1.0
1925959.0	156.60	148.30	-1.0	-1.0
1925960.0	156.80	148.10	-1.0	-1.0
1925961.0	156.80	148.10	-1.0	-1.0
1925962.0	156.70	148.10	-1.0	-1.0
1925963.0	156.70	148.00	-1.0	-1.0
1925964.0	156.90	148.00	-1.0	-1.0
1925965.0	157.30	148.30	-1.0	-1.0
1925966.0	157.60	148.80	-1.0	-1.0
1925967.0	157.80	149.10	-1.0	-1.0
1925968.0	157.70	149.10	-1.0	-1.0
1925969.0	157.60	148.90	-1.0	-1.0
1925970.0	157.70	149.10	-1.0	-1.0
1925971.0	157.90	149.60	-1.0	-1.0
1925972.0	158.20	149.80	-1.0	-1.0
1925973.0	158.00	149.60	-1.0	-1.0
1925974.0	157.60	149.70	-1.0	-1.0
1925975.0	157.10	149.90	-1.0	-1.0
1925976.0	157.10	149.90	-1.0	-1.0
1925977.0	157.10	149.80	-1.0	-1.0
1925978.0	157.00	149.50	-1.0	-1.0
1925979.0	157.00	149.40	-1.0	-1.0
1925980.0	156.90	149.30	-1.0	-1.0
1925981.0	156.90	149.30	-1.0	-1.0
1925982.0	156.90	149.20	-1.0	-1.0
1925983.0	157.20	149.20	-1.0	-1.0
1925984.0	157.50	149.40	-1.0	-1.0
1925985.0	157.80	149.50	-1.0	-1.0
1925986.0	157.90	149.70	-1.0	-1.0
1925987.0	157.90	149.70	-1.0	-1.0
1925988.0	157.90	149.80	-1.0	-1.0
1925989.0	157.90	149.90	-1.0	-1.0
1925990.0	157.80	149.90	-1.0	-1.0
1925991.0	157.60	149.80	-1.0	-1.0
1925992.0	157.20	149.60	-1.0	-1.0
1925993.0	156.80	149.50	-1.0	-1.0
1925994.0	156.60	149.40	-1.0	-1.0
1925995.0	156.70	149.40	-1.0	-1.0
1925996.0	156.70	149.30	-1.0	-1.0
1925997.0	157.00	149.40	-1.0	-1.0
1925998.0	157.40	149.70	-1.0	-1.0
1925999.0	157.90	149.80	-1.0	-1.0
1926000.0	157.90	149.50	-1.0	-1.0
1926001.0	157.70	149.10	-1.0	-1.0
1926002.0	157.40	149.00	-1.0	-1.0
1926003.0	157.40	149.10	-1.0	-1.0
1926004.0	157.50	149.40	-1.0	-1.0
1926005.0	157.60	149.70	-1.0	-1.0
1926006.0	157.80	149.70	-1.0	-1.0
1926007.0	157.90	149.40	-1.0	-1.0
1926008.0	158.00	149.10	-1.0	-1.0
1926009.0	158.20	149.00	-1.0	-1.0
1926010.0	157.70	148.90	-1.0	-1.0
1926011.0	157.10	149.10	-1.0	-1.0
1926012.0	156.50	149.30	-1.0	-1.0
1926013.0	156.60	149.60	-1.0	-1.0
1926014.0	156.70	149.60	-1.0	-1.0
1926015.0	156.90	149.60	-1.0	-1.0
1926016.0	156.90	149.50	-1.0	-1.0
1926017.0	157.00	149.40	-1.0	-1.0
1926018.0	157.20	149.30	-1.0	-1.0
1926019.0	157.30	149.40	-1.0	-1.0
1926020.0	157.20	149.50	-1.0	-1.0
1926021.0	157.00	149.70	-1.0	-1.0
1926022.0	156.80	149.80	-1.0	-1.0
1926023.0	157.20	149.80	-1.0	-1.0
1926024.0	157.70	149.70	-1.0	-1.0
1926025.0	158.30	149.60	-1.0	-1.0
1926026.0	158.40	149.50	-1.0	-1.0
1926027.0	158.40	149.50	-1.0	-1.0
1926028.0	158.30	149.50	-1.0	-1.0
1926029.0	158.20	149.60	-1.0	-1.0
1926030.0	158.00	149.50	-1.0	-1.0
1926031.0	157.80	149.50	-1.0	-1.0
1926032.0	157.50	149.70	-1.0	-1.0
1926033.0	157.30	150.00	-1.0	-1.0
1926034.0	157.10	150.30	-1.0	-1.0
1926035.0	157.20	150.30	-1.0	-1.0
1926036.0	157.50	150.40	-1.0	-1.0
