timestamp	x	y	stimuli_x	stimuli_y
2440985.0	-32768.00	-32768.00	-1.0	-1.0
2440986.0	-32768.00	-32768.00	-1.0	-1.0
2440987.0	175.30	133.40	-1.0	-1.0
2440988.0	175.30	133.40	-1.0	-1.0
2440989.0	175.20	133.90	-1.0	-1.0
2440990.0	174.90	134.30	-1.0	-1.0
2440991.0	174.60	134.70	-1.0	-1.0
2440992.0	174.40	134.60	-1.0	-1.0
2440993.0	174.90	134.60	-1.0	-1.0
2440994.0	175.40	134.50	-1.0	-1.0
2440995.0	175.60	134.40	-1.0	-1.0
2440996.0	175.50	134.20	-1.0	-1.0
2440997.0	175.20	134.20	-1.0	-1.0
2440998.0	174.20	133.90	-1.0	-1.0
2440999.0	172.10	133.40	-1.0	-1.0
2441000.0	168.20	132.80	-1.0	-1.0
2441001.0	162.50	132.30	-1.0	-1.0
2441002.0	156.00	131.90	-1.0	-1.0
2441003.0	149.70	131.30	-1.0	-1.0
2441004.0	143.90	131.10	-1.0	-1.0
2441005.0	137.40	131.50	-1.0	-1.0
2441006.0	131.20	132.30	-1.0	-1.0
2441007.0	125.50	133.40	-1.0	-1.0
2441008.0	119.80	134.40	-1.0	-1.0
2441009.0	113.60	135.50	-1.0	-1.0
2441010.0	107.90	136.10	-1.0	-1.0
2441011.0	104.40	136.60	-1.0	-1.0
2441012.0	102.80	136.60	-1.0	-1.0
2441013.0	102.70	136.70	-1.0	-1.0
2441014.0	103.50	136.90	-1.0	-1.0
2441015.0	104.90	136.90	-1.0	-1.0
2441016.0	107.20	136.70	-1.0	-1.0
2441017.0	110.50	136.50	-1.0	-1.0
2441018.0	114.90	135.90	-1.0	-1.0
2441019.0	120.10	135.80	-1.0	-1.0
2441020.0	125.60	135.60	-1.0	-1.0
2441021.0	130.40	136.00	-1.0	-1.0
2441022.0	134.00	135.80	-1.0	-1.0
2441023.0	136.60	135.60	-1.0	-1.0
2441024.0	138.60	135.30	-1.0	-1.0
2441025.0	139.90	135.40	-1.0	-1.0
2441026.0	140.40	135.40	-1.0	-1.0
2441027.0	140.50	135.40	-1.0	-1.0
2441028.0	140.50	135.30	-1.0	-1.0
2441029.0	140.10	135.20	-1.0	-1.0
