timestamp	x	y	stimuli_x	stimuli_y
2289654.0	196.50	183.90	-1.0	-1.0
2289655.0	196.70	183.60	-1.0	-1.0
2289656.0	196.90	183.10	-1.0	-1.0
2289657.0	197.30	183.10	-1.0	-1.0
2289658.0	197.70	183.00	-1.0	-1.0
2289659.0	198.00	182.70	-1.0	-1.0
2289660.0	198.10	182.30	-1.0	-1.0
2289661.0	198.10	182.00	-1.0	-1.0
2289662.0	198.20	182.40	-1.0	-1.0
2289663.0	198.30	182.90	-1.0	-1.0
2289664.0	198.40	183.30	-1.0	-1.0
2289665.0	198.40	183.20	-1.0	-1.0
2289666.0	198.30	183.10	-1.0	-1.0
2289667.0	198.20	182.80	-1.0	-1.0
2289668.0	198.00	182.60	-1.0	-1.0
2289669.0	197.90	182.50	-1.0	-1.0
2289670.0	197.90	182.50	-1.0	-1.0
2289671.0	197.90	182.80	-1.0	-1.0
2289672.0	197.80	183.10	-1.0	-1.0
2289673.0	197.60	183.40	-1.0	-1.0
2289674.0	197.70	183.40	-1.0	-1.0
2289675.0	197.80	183.50	-1.0	-1.0
2289676.0	198.00	183.50	-1.0	-1.0
2289677.0	197.90	183.50	-1.0	-1.0
2289678.0	197.30	183.40	-1.0	-1.0
2289679.0	196.70	183.20	-1.0	-1.0
2289680.0	196.50	183.10	-1.0	-1.0
2289681.0	196.90	183.00	-1.0	-1.0
2289682.0	197.40	183.20	-1.0	-1.0
2289683.0	197.60	183.40	-1.0	-1.0
2289684.0	197.60	183.60	-1.0	-1.0
2289685.0	197.70	183.70	-1.0	-1.0
2289686.0	197.70	183.80	-1.0	-1.0
2289687.0	197.60	183.70	-1.0	-1.0
2289688.0	197.60	183.70	-1.0	-1.0
2289689.0	197.60	183.50	-1.0	-1.0
2289690.0	197.60	183.40	-1.0	-1.0
2289691.0	197.50	183.30	-1.0	-1.0
2289692.0	197.30	183.30	-1.0	-1.0
2289693.0	196.90	183.20	-1.0	-1.0
2289694.0	196.60	183.20	-1.0	-1.0
2289695.0	196.70	183.30	-1.0	-1.0
2289696.0	197.00	183.60	-1.0	-1.0
2289697.0	197.30	183.80	-1.0	-1.0
2289698.0	197.30	183.70	-1.0	-1.0
2289699.0	197.40	183.70	-1.0	-1.0
2289700.0	197.50	183.80	-1.0	-1.0
2289701.0	197.70	183.80	-1.0	-1.0
2289702.0	197.90	183.80	-1.0	-1.0
2289703.0	198.10	183.60	-1.0	-1.0
2289704.0	198.20	183.50	-1.0	-1.0
2289705.0	197.80	183.30	-1.0	-1.0
2289706.0	197.40	183.30	-1.0	-1.0
2289707.0	197.10	183.20	-1.0	-1.0
2289708.0	197.10	183.10	-1.0	-1.0
2289709.0	197.20	183.00	-1.0	-1.0
2289710.0	197.20	183.00	-1.0	-1.0
2289711.0	197.30	183.10	-1.0	-1.0
2289712.0	197.30	183.20	-1.0	-1.0
2289713.0	197.40	183.30	-1.0	-1.0
2289714.0	197.50	183.40	-1.0	-1.0
2289715.0	197.80	183.50	-1.0	-1.0
2289716.0	198.10	183.60	-1.0	-1.0
2289717.0	198.30	183.60	-1.0	-1.0
2289718.0	198.20	183.50	-1.0	-1.0
2289719.0	197.90	183.50	-1.0	-1.0
2289720.0	197.60	183.40	-1.0	-1.0
2289721.0	197.30	183.40	-1.0	-1.0
2289722.0	197.20	183.50	-1.0	-1.0
2289723.0	197.20	183.60	-1.0	-1.0
2289724.0	197.10	183.60	-1.0	-1.0
2289725.0	197.00	183.40	-1.0	-1.0
2289726.0	196.90	183.40	-1.0	-1.0
2289727.0	197.30	183.40	-1.0	-1.0
2289728.0	197.80	183.50	-1.0	-1.0
2289729.0	198.00	183.50	-1.0	-1.0
2289730.0	197.70	183.60	-1.0	-1.0
2289731.0	197.60	183.40	-1.0	-1.0
2289732.0	197.70	183.30	-1.0	-1.0
2289733.0	197.80	183.30	-1.0	-1.0
2289734.0	198.00	183.50	-1.0	-1.0
2289735.0	198.10	183.80	-1.0	-1.0
2289736.0	198.00	184.00	-1.0	-1.0
2289737.0	197.70	184.30	-1.0	-1.0
2289738.0	197.40	184.40	-1.0	-1.0
2289739.0	197.40	184.30	-1.0	-1.0
2289740.0	197.60	184.00	-1.0	-1.0
2289741.0	197.70	183.80	-1.0	-1.0
2289742.0	197.40	183.60	-1.0	-1.0
2289743.0	197.00	183.40	-1.0	-1.0
2289744.0	196.60	183.20	-1.0	-1.0
2289745.0	196.60	183.30	-1.0	-1.0
2289746.0	196.70	183.50	-1.0	-1.0
2289747.0	196.80	183.80	-1.0	-1.0
2289748.0	197.30	183.80	-1.0	-1.0
2289749.0	197.80	183.90	-1.0	-1.0
2289750.0	198.10	184.10	-1.0	-1.0
2289751.0	197.90	184.20	-1.0	-1.0
2289752.0	197.60	184.40	-1.0	-1.0
2289753.0	197.50	184.40	-1.0	-1.0
2289754.0	197.20	184.30	-1.0	-1.0
2289755.0	197.00	184.20	-1.0	-1.0
2289756.0	196.80	184.10	-1.0	-1.0
2289757.0	196.90	184.00	-1.0	-1.0
2289758.0	196.90	184.00	-1.0	-1.0
2289759.0	196.90	184.10	-1.0	-1.0
2289760.0	196.80	184.00	-1.0	-1.0
2289761.0	196.70	183.90	-1.0	-1.0
2289762.0	196.70	183.90	-1.0	-1.0
2289763.0	196.50	183.80	-1.0	-1.0
2289764.0	196.40	183.90	-1.0	-1.0
2289765.0	196.30	183.90	-1.0	-1.0
2289766.0	196.30	183.90	-1.0	-1.0
2289767.0	196.40	184.10	-1.0	-1.0
2289768.0	196.60	184.40	-1.0	-1.0
2289769.0	196.70	184.60	-1.0	-1.0
2289770.0	196.70	184.50	-1.0	-1.0
2289771.0	196.70	184.40	-1.0	-1.0
2289772.0	196.70	184.40	-1.0	-1.0
2289773.0	196.90	184.60	-1.0	-1.0
2289774.0	197.00	184.60	-1.0	-1.0
2289775.0	196.90	184.60	-1.0	-1.0
2289776.0	196.70	184.40	-1.0	-1.0
2289777.0	197.00	184.40	-1.0	-1.0
2289778.0	197.40	184.20	-1.0	-1.0
2289779.0	197.90	184.20	-1.0	-1.0
2289780.0	197.80	184.10	-1.0	-1.0
2289781.0	197.70	184.10	-1.0	-1.0
2289782.0	197.30	184.40	-1.0	-1.0
2289783.0	196.90	184.70	-1.0	-1.0
2289784.0	196.60	185.00	-1.0	-1.0
2289785.0	196.60	184.60	-1.0	-1.0
2289786.0	196.70	184.20	-1.0	-1.0
2289787.0	196.70	183.80	-1.0	-1.0
2289788.0	196.30	183.70	-1.0	-1.0
2289789.0	195.90	183.60	-1.0	-1.0
2289790.0	195.90	183.80	-1.0	-1.0
2289791.0	196.30	184.20	-1.0	-1.0
2289792.0	196.70	184.50	-1.0	-1.0
2289793.0	196.50	184.50	-1.0	-1.0
2289794.0	196.30	184.40	-1.0	-1.0
2289795.0	196.40	184.20	-1.0	-1.0
2289796.0	196.70	184.30	-1.0	-1.0
2289797.0	196.50	184.40	-1.0	-1.0
2289798.0	195.90	184.40	-1.0	-1.0
2289799.0	195.60	184.30	-1.0	-1.0
2289800.0	195.80	184.30	-1.0	-1.0
2289801.0	196.20	184.30	-1.0	-1.0
2289802.0	196.30	184.20	-1.0	-1.0
2289803.0	196.40	184.30	-1.0	-1.0
2289804.0	196.30	184.50	-1.0	-1.0
2289805.0	196.20	185.00	-1.0	-1.0
2289806.0	196.20	185.30	-1.0	-1.0
2289807.0	196.20	185.40	-1.0	-1.0
2289808.0	196.10	185.30	-1.0	-1.0
2289809.0	196.10	185.10	-1.0	-1.0
2289810.0	196.00	185.10	-1.0	-1.0
2289811.0	196.00	185.10	-1.0	-1.0
2289812.0	196.00	184.80	-1.0	-1.0
2289813.0	196.10	184.40	-1.0	-1.0
2289814.0	196.10	184.10	-1.0	-1.0
2289815.0	196.00	184.10	-1.0	-1.0
2289816.0	195.90	184.50	-1.0	-1.0
2289817.0	195.90	184.90	-1.0	-1.0
2289818.0	195.80	185.30	-1.0	-1.0
2289819.0	195.80	185.30	-1.0	-1.0
2289820.0	195.70	185.10	-1.0	-1.0
2289821.0	195.80	185.00	-1.0	-1.0
2289822.0	195.90	185.10	-1.0	-1.0
2289823.0	196.00	185.20	-1.0	-1.0
2289824.0	195.90	185.30	-1.0	-1.0
2289825.0	195.80	185.30	-1.0	-1.0
2289826.0	195.70	185.30	-1.0	-1.0
2289827.0	195.70	185.10	-1.0	-1.0
2289828.0	195.70	184.90	-1.0	-1.0
2289829.0	195.70	184.70	-1.0	-1.0
2289830.0	195.50	184.70	-1.0	-1.0
2289831.0	195.30	184.70	-1.0	-1.0
2289832.0	195.00	184.70	-1.0	-1.0
2289833.0	194.90	184.60	-1.0	-1.0
2289834.0	195.00	184.10	-1.0	-1.0
2289835.0	195.00	183.70	-1.0	-1.0
2289836.0	195.10	183.40	-1.0	-1.0
2289837.0	195.00	183.20	-1.0	-1.0
2289838.0	194.60	181.70	-1.0	-1.0
2289839.0	194.30	179.70	-1.0	-1.0
2289840.0	193.90	176.70	-1.0	-1.0
2289841.0	193.70	174.00	-1.0	-1.0
2289842.0	192.50	170.50	-1.0	-1.0
2289843.0	191.40	167.20	-1.0	-1.0
2289844.0	189.60	164.50	-1.0	-1.0
2289845.0	188.20	161.80	-1.0	-1.0
2289846.0	186.60	159.80	-1.0	-1.0
2289847.0	185.80	157.50	-1.0	-1.0
2289848.0	184.90	156.00	-1.0	-1.0
2289849.0	183.90	154.30	-1.0	-1.0
2289850.0	183.10	152.80	-1.0	-1.0
2289851.0	182.30	150.80	-1.0	-1.0
2289852.0	181.10	149.60	-1.0	-1.0
2289853.0	179.70	148.90	-1.0	-1.0
2289854.0	178.70	149.40	-1.0	-1.0
2289855.0	177.30	150.00	-1.0	-1.0
2289856.0	175.90	150.40	-1.0	-1.0
2289857.0	174.70	150.40	-1.0	-1.0
2289858.0	174.10	150.70	-1.0	-1.0
2289859.0	173.40	151.70	-1.0	-1.0
2289860.0	172.90	152.70	-1.0	-1.0
2289861.0	172.60	153.30	-1.0	-1.0
2289862.0	172.90	153.30	-1.0	-1.0
2289863.0	173.20	153.10	-1.0	-1.0
2289864.0	173.30	153.00	-1.0	-1.0
2289865.0	173.40	152.90	-1.0	-1.0
2289866.0	174.00	153.00	-1.0	-1.0
2289867.0	174.40	153.20	-1.0	-1.0
2289868.0	175.40	153.30	-1.0	-1.0
2289869.0	175.90	153.30	-1.0	-1.0
2289870.0	176.50	153.40	-1.0	-1.0
2289871.0	177.20	153.30	-1.0	-1.0
2289872.0	177.90	153.30	-1.0	-1.0
2289873.0	178.40	153.30	-1.0	-1.0
2289874.0	178.40	152.70	-1.0	-1.0
2289875.0	178.50	152.10	-1.0	-1.0
2289876.0	178.30	151.20	-1.0	-1.0
2289877.0	178.00	151.00	-1.0	-1.0
2289878.0	177.40	151.00	-1.0	-1.0
2289879.0	177.10	151.30	-1.0	-1.0
2289880.0	177.00	151.80	-1.0	-1.0
2289881.0	177.10	152.10	-1.0	-1.0
2289882.0	176.90	152.50	-1.0	-1.0
2289883.0	176.70	152.50	-1.0	-1.0
2289884.0	176.40	152.60	-1.0	-1.0
2289885.0	176.50	152.50	-1.0	-1.0
2289886.0	176.50	152.50	-1.0	-1.0
2289887.0	176.40	152.50	-1.0	-1.0
2289888.0	176.40	152.60	-1.0	-1.0
2289889.0	176.40	152.70	-1.0	-1.0
2289890.0	176.40	152.80	-1.0	-1.0
2289891.0	176.10	152.50	-1.0	-1.0
2289892.0	175.90	152.30	-1.0	-1.0
2289893.0	175.50	152.00	-1.0	-1.0
2289894.0	175.10	152.00	-1.0	-1.0
2289895.0	174.60	151.90	-1.0	-1.0
2289896.0	174.30	151.90	-1.0	-1.0
2289897.0	174.20	151.80	-1.0	-1.0
2289898.0	174.20	151.70	-1.0	-1.0
2289899.0	174.20	151.70	-1.0	-1.0
2289900.0	174.30	151.80	-1.0	-1.0
2289901.0	174.40	151.90	-1.0	-1.0
2289902.0	174.20	152.30	-1.0	-1.0
2289903.0	174.00	152.70	-1.0	-1.0
2289904.0	173.80	152.60	-1.0	-1.0
2289905.0	173.80	152.40	-1.0	-1.0
2289906.0	174.00	152.20	-1.0	-1.0
2289907.0	174.10	152.20	-1.0	-1.0
2289908.0	174.10	152.30	-1.0	-1.0
2289909.0	173.90	152.30	-1.0	-1.0
2289910.0	173.70	152.40	-1.0	-1.0
2289911.0	173.70	152.30	-1.0	-1.0
2289912.0	173.70	152.30	-1.0	-1.0
2289913.0	173.80	152.30	-1.0	-1.0
2289914.0	173.80	152.30	-1.0	-1.0
2289915.0	173.80	152.30	-1.0	-1.0
