timestamp	x	y	stimuli_x	stimuli_y
2199265.0	162.70	151.80	-1.0	-1.0
2199266.0	160.60	150.80	-1.0	-1.0
2199267.0	157.10	149.60	-1.0	-1.0
2199268.0	153.30	149.40	-1.0	-1.0
2199269.0	149.60	149.10	-1.0	-1.0
2199270.0	146.40	148.50	-1.0	-1.0
2199271.0	144.30	147.90	-1.0	-1.0
2199272.0	143.10	147.50	-1.0	-1.0
2199273.0	142.70	147.50	-1.0	-1.0
2199274.0	142.50	147.00	-1.0	-1.0
2199275.0	142.50	146.10	-1.0	-1.0
2199276.0	143.30	145.30	-1.0	-1.0
2199277.0	144.30	144.70	-1.0	-1.0
2199278.0	145.70	144.10	-1.0	-1.0
2199279.0	146.40	143.30	-1.0	-1.0
2199280.0	146.90	142.20	-1.0	-1.0
2199281.0	147.40	141.30	-1.0	-1.0
2199282.0	148.00	140.50	-1.0	-1.0
2199283.0	148.80	140.30	-1.0	-1.0
2199284.0	149.40	140.00	-1.0	-1.0
2199285.0	150.60	139.40	-1.0	-1.0
2199286.0	151.30	138.90	-1.0	-1.0
2199287.0	152.00	138.50	-1.0	-1.0
2199288.0	152.40	138.50	-1.0	-1.0
2199289.0	153.00	138.50	-1.0	-1.0
2199290.0	153.60	138.50	-1.0	-1.0
2199291.0	153.70	138.50	-1.0	-1.0
2199292.0	153.80	138.60	-1.0	-1.0
2199293.0	153.80	139.20	-1.0	-1.0
2199294.0	153.90	139.70	-1.0	-1.0
2199295.0	154.00	140.40	-1.0	-1.0
2199296.0	153.90	140.80	-1.0	-1.0
2199297.0	153.90	141.30	-1.0	-1.0
2199298.0	153.50	141.80	-1.0	-1.0
2199299.0	153.20	141.80	-1.0	-1.0
2199300.0	152.70	141.80	-1.0	-1.0
2199301.0	152.50	141.90	-1.0	-1.0
2199302.0	152.20	142.20	-1.0	-1.0
2199303.0	151.90	142.50	-1.0	-1.0
2199304.0	151.70	142.60	-1.0	-1.0
2199305.0	151.50	142.70	-1.0	-1.0
2199306.0	151.40	142.90	-1.0	-1.0
2199307.0	151.30	143.10	-1.0	-1.0
2199308.0	151.20	143.20	-1.0	-1.0
2199309.0	151.00	143.10	-1.0	-1.0
2199310.0	150.80	142.80	-1.0	-1.0
2199311.0	150.80	142.50	-1.0	-1.0
2199312.0	150.90	142.20	-1.0	-1.0
2199313.0	150.90	142.30	-1.0	-1.0
2199314.0	151.00	142.40	-1.0	-1.0
2199315.0	151.10	142.50	-1.0	-1.0
2199316.0	151.10	142.50	-1.0	-1.0
2199317.0	150.90	142.60	-1.0	-1.0
2199318.0	150.50	142.60	-1.0	-1.0
2199319.0	150.10	142.50	-1.0	-1.0
2199320.0	149.80	142.40	-1.0	-1.0
2199321.0	149.80	142.20	-1.0	-1.0
2199322.0	149.70	142.00	-1.0	-1.0
2199323.0	149.50	141.80	-1.0	-1.0
2199324.0	149.40	141.80	-1.0	-1.0
2199325.0	149.40	141.70	-1.0	-1.0
2199326.0	149.40	141.60	-1.0	-1.0
2199327.0	149.40	141.60	-1.0	-1.0
2199328.0	149.60	141.70	-1.0	-1.0
2199329.0	149.60	142.00	-1.0	-1.0
2199330.0	149.70	142.60	-1.0	-1.0
2199331.0	149.60	143.10	-1.0	-1.0
2199332.0	149.50	143.10	-1.0	-1.0
2199333.0	149.40	142.70	-1.0	-1.0
2199334.0	149.20	142.50	-1.0	-1.0
2199335.0	149.10	143.00	-1.0	-1.0
2199336.0	149.10	143.50	-1.0	-1.0
2199337.0	149.10	143.90	-1.0	-1.0
2199338.0	149.20	143.90	-1.0	-1.0
2199339.0	149.20	144.00	-1.0	-1.0
2199340.0	149.20	144.10	-1.0	-1.0
2199341.0	149.30	144.30	-1.0	-1.0
2199342.0	149.30	144.50	-1.0	-1.0
2199343.0	149.20	144.50	-1.0	-1.0
2199344.0	149.10	144.30	-1.0	-1.0
2199345.0	149.00	144.20	-1.0	-1.0
2199346.0	149.10	144.20	-1.0	-1.0
2199347.0	149.10	144.20	-1.0	-1.0
2199348.0	149.00	144.10	-1.0	-1.0
2199349.0	148.80	144.00	-1.0	-1.0
2199350.0	148.70	143.80	-1.0	-1.0
2199351.0	148.70	143.70	-1.0	-1.0
2199352.0	149.10	143.70	-1.0	-1.0
2199353.0	149.50	143.90	-1.0	-1.0
2199354.0	149.40	144.00	-1.0	-1.0
2199355.0	149.10	144.10	-1.0	-1.0
2199356.0	148.80	144.20	-1.0	-1.0
2199357.0	149.00	144.40	-1.0	-1.0
2199358.0	149.20	144.50	-1.0	-1.0
2199359.0	149.20	144.50	-1.0	-1.0
2199360.0	149.10	144.60	-1.0	-1.0
2199361.0	149.00	144.80	-1.0	-1.0
2199362.0	149.00	145.20	-1.0	-1.0
2199363.0	149.10	145.40	-1.0	-1.0
2199364.0	148.50	145.50	-1.0	-1.0
2199365.0	147.90	145.20	-1.0	-1.0
2199366.0	147.40	144.90	-1.0	-1.0
2199367.0	147.60	144.80	-1.0	-1.0
2199368.0	147.90	144.70	-1.0	-1.0
2199369.0	148.10	144.40	-1.0	-1.0
2199370.0	148.30	144.20	-1.0	-1.0
2199371.0	148.20	144.10	-1.0	-1.0
2199372.0	148.00	143.80	-1.0	-1.0
2199373.0	147.90	143.40	-1.0	-1.0
2199374.0	148.00	143.20	-1.0	-1.0
2199375.0	148.10	143.40	-1.0	-1.0
2199376.0	148.30	143.40	-1.0	-1.0
2199377.0	148.50	143.10	-1.0	-1.0
2199378.0	148.60	142.80	-1.0	-1.0
2199379.0	148.60	142.70	-1.0	-1.0
2199380.0	148.40	143.10	-1.0	-1.0
2199381.0	148.20	143.50	-1.0	-1.0
2199382.0	148.10	143.90	-1.0	-1.0
2199383.0	148.20	143.30	-1.0	-1.0
2199384.0	148.30	142.70	-1.0	-1.0
2199385.0	148.30	142.50	-1.0	-1.0
2199386.0	148.30	142.80	-1.0	-1.0
2199387.0	148.10	143.10	-1.0	-1.0
2199388.0	148.20	143.10	-1.0	-1.0
2199389.0	148.30	143.10	-1.0	-1.0
2199390.0	148.40	142.90	-1.0	-1.0
2199391.0	148.50	142.60	-1.0	-1.0
2199392.0	148.50	142.40	-1.0	-1.0
2199393.0	148.60	142.60	-1.0	-1.0
2199394.0	148.70	142.70	-1.0	-1.0
2199395.0	148.90	142.80	-1.0	-1.0
2199396.0	148.90	142.80	-1.0	-1.0
2199397.0	149.00	142.70	-1.0	-1.0
2199398.0	149.20	142.70	-1.0	-1.0
2199399.0	149.30	142.60	-1.0	-1.0
2199400.0	149.50	142.70	-1.0	-1.0
2199401.0	149.50	142.70	-1.0	-1.0
2199402.0	149.20	142.90	-1.0	-1.0
2199403.0	148.80	143.20	-1.0	-1.0
2199404.0	148.40	143.40	-1.0	-1.0
2199405.0	148.40	143.50	-1.0	-1.0
2199406.0	148.40	143.60	-1.0	-1.0
2199407.0	148.60	143.60	-1.0	-1.0
2199408.0	148.60	143.60	-1.0	-1.0
2199409.0	148.70	143.90	-1.0	-1.0
2199410.0	148.50	144.10	-1.0	-1.0
2199411.0	148.50	144.40	-1.0	-1.0
2199412.0	148.40	144.40	-1.0	-1.0
2199413.0	148.50	144.40	-1.0	-1.0
2199414.0	148.50	144.50	-1.0	-1.0
2199415.0	148.40	144.70	-1.0	-1.0
2199416.0	148.10	144.80	-1.0	-1.0
2199417.0	147.90	144.80	-1.0	-1.0
2199418.0	148.00	144.50	-1.0	-1.0
2199419.0	148.20	144.20	-1.0	-1.0
2199420.0	148.30	143.90	-1.0	-1.0
2199421.0	148.40	143.80	-1.0	-1.0
2199422.0	148.40	143.60	-1.0	-1.0
2199423.0	148.50	143.20	-1.0	-1.0
2199424.0	148.50	142.70	-1.0	-1.0
2199425.0	148.60	142.30	-1.0	-1.0
2199426.0	148.70	142.10	-1.0	-1.0
2199427.0	148.70	142.10	-1.0	-1.0
2199428.0	148.80	142.10	-1.0	-1.0
2199429.0	148.80	142.10	-1.0	-1.0
2199430.0	148.50	142.00	-1.0	-1.0
2199431.0	147.90	142.00	-1.0	-1.0
2199432.0	147.20	142.10	-1.0	-1.0
2199433.0	147.20	142.40	-1.0	-1.0
2199434.0	148.10	142.70	-1.0	-1.0
2199435.0	148.80	142.90	-1.0	-1.0
2199436.0	149.10	143.00	-1.0	-1.0
2199437.0	148.90	142.70	-1.0	-1.0
2199438.0	148.60	142.30	-1.0	-1.0
2199439.0	148.20	141.90	-1.0	-1.0
2199440.0	148.20	141.80	-1.0	-1.0
2199441.0	148.30	141.30	-1.0	-1.0
2199442.0	148.50	140.80	-1.0	-1.0
2199443.0	148.50	140.40	-1.0	-1.0
2199444.0	148.20	140.30	-1.0	-1.0
2199445.0	147.80	140.30	-1.0	-1.0
2199446.0	147.30	140.20	-1.0	-1.0
2199447.0	147.10	140.50	-1.0	-1.0
2199448.0	147.10	140.80	-1.0	-1.0
2199449.0	147.20	141.10	-1.0	-1.0
2199450.0	147.40	141.10	-1.0	-1.0
2199451.0	147.70	140.90	-1.0	-1.0
2199452.0	148.00	140.70	-1.0	-1.0
2199453.0	148.20	140.60	-1.0	-1.0
2199454.0	148.00	140.80	-1.0	-1.0
2199455.0	147.80	141.10	-1.0	-1.0
2199456.0	147.60	141.30	-1.0	-1.0
2199457.0	147.60	141.40	-1.0	-1.0
2199458.0	147.70	141.40	-1.0	-1.0
2199459.0	147.70	141.30	-1.0	-1.0
2199460.0	147.80	141.40	-1.0	-1.0
2199461.0	147.70	141.50	-1.0	-1.0
2199462.0	147.60	141.50	-1.0	-1.0
2199463.0	147.40	141.60	-1.0	-1.0
2199464.0	147.20	141.50	-1.0	-1.0
